_id,objectid,unicode,name,facility_type,type_code,center,center_code,feature_name,website,capacity,access_to_fire_extinguisher,access_to_kitchenette,access_to_parking_lot,access_to_playground,access_to_restrooms,access_to_spray_park,access_to_vending_machines,ada_accessible_facility,ada_accessible_playground_near,ada_accessible_port_a_john_near,ada_accessible_restroom,bocci_court,furniture_chairs,furniture_tables,indoor_air_conditioning,indoor_audio_system,indoor_heating,indoor_television,outdoor_basketball_courts_nea,outdoor_fishing,outdoor_grill,outdoor_horseshoe_pits_near,outdoor_lake_view,outdoor_lighting,outdoor_swimming_pool_near,outdoor_volleyball,outdoor_water_spigot,outlet_data,outlet_power,outlet_telephone,pet_friendly,port_a_john_near,smoking_not_permitted,smoking_permitted,x,y
26028,1720,,Mckinney Soccer Field 1,Field - Soccer,64,North Park,NP,Mckinney Soccer Field 1,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.025430041037,40.371175995692
26029,1721,,Mckinney Soccer Field 2,Field - Soccer,64,North Park,NP,Mckinney Soccer Field 2,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.025479069858,40.3713529288
26030,1722,,Pie Traynor Soccer Field,Field - Soccer,64,North Park,NP,Pie Traynor Soccer Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.593275217847,40.351032047785
26031,1723,,Schwartz Soccer Field 1,Field - Soccer,64,North Park,NP,Schwartz Soccer Field 1,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.025289317233,40.370595253196
26032,1724,,Schwartz Soccer Field 2,Field - Soccer,64,North Park,NP,Schwartz Soccer Field 2,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.025664384885,40.3704527336
26033,1725,,Woods Soccer Field,Field - Soccer,64,North Park,NP,Woods Soccer Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,-79.591516223521,40.350916233211
26034,1726,,Yoest Soccer Field 1,Field - Soccer,64,North Park,NP,Yoest Soccer Field 1,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.024920866029,40.37007671925
26035,1727,,Yoest Soccer Field 2,Field - Soccer,64,North Park,NP,Yoest Soccer Field 2,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.025189838332,40.370060930247
26036,1728,,Ice Skating Rink - 2nd Floor,Ice Rink,100,North Park,NP,Ice Skating Rink - 2nd Floor,https://www.alleghenycounty.us/parks/north-park/skating-rink-2nd-floor.aspx,200,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.012438221536,40.365731088487
26037,1729,,Ice Skating Rink - Rink,Ice Rink,100,North Park,NP,Ice Skating Rink - Rink,https://www.alleghenycounty.us/parks/activities/winter-sports/ice-skating---hockey.aspx,50,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.012360225362,40.365622931143
26038,1730,,North Park Pool,Pool,120,North Park,NP,North Park Pool,https://www.alleghenycounty.us/parks/activities/water-activities/pools.aspx,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.593845255851,40.351991430332
26039,1731,,Ambridge,Shelter,130,North Park,NP,Ambridge,https://www.alleghenycounty.us/parks/north-park/ambridge.aspx,40,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,-80.01084532522,40.364754968573
26040,1732,,Babble Brook,Shelter,130,North Park,NP,Babble Brook,https://www.alleghenycounty.us/parks/north-park/babble-brook.aspx,40,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,-79.595169880466,40.353915277358
26041,1733,,Beaver,Shelter,130,North Park,NP,Beaver,https://www.alleghenycounty.us/parks/north-park/beaver.aspx,40,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,-79.594746495692,40.355884422974
26042,1734,,Beveridge,Shelter,130,North Park,NP,Beveridge,https://www.alleghenycounty.us/parks/north-park/beveridge.aspx,50,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-79.590350855643,40.351688773956
26043,1735,,Blackrock,Shelter,130,North Park,NP,Blackrock,https://www.alleghenycounty.us/parks/north-park/blackrock.aspx,40,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.592229772458,40.350506931884
26044,1736,,Buffalo,Shelter,130,North Park,NP,Buffalo,https://www.alleghenycounty.us/parks/north-park/buffalo.aspx,40,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,-80.001831341149,40.360025815622
26045,1737,,Carnegie,Shelter,130,North Park,NP,Carnegie,https://www.alleghenycounty.us/parks/north-park/carnegie.aspx,40,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.59200907354,40.350887536719
26046,1738,,Cottage,Shelter,130,North Park,NP,Cottage,https://www.alleghenycounty.us/parks/north-park/cottage-shelter.aspx,50,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.595159415686,40.352896809404
26047,1739,,Deer Browse 1,Shelter,130,North Park,NP,Deer Browse 1,https://www.alleghenycounty.us/parks/north-park/deer-browse-1.aspx,50,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.59300099785,40.351820480696
