_id,objectid,trail_id,trail_name,park_name_short,park_name,park_name_full,blaze_color_full,blaze_color_short,base_color,cap_color,dot_color,dash_color,image_link,mileage,track,track_num,difficulty,configuration,surface,service_road,globalid,trail_status,shape_length
35645,20450,SP2284, ,SP,South Park,South Park,,,,,,,,0.04981528,,,,<Null>,,,{CB9D7A58-687B-4A5E-A5FB-EE9CA5F06E10},Active,0.00090504804937927
35646,20451,SP2288, ,SP,South Park,South Park,,,,,,,,0.1976222,,,,<Null>,,,{6D00570E-362B-4F70-8EBC-808137B5D3A8},Active,0.00329857005572897
35647,20452,SP2289, ,SP,South Park,South Park,,,,,,,,0.11080437,,,,<Null>,,,{AAE35391-CC7C-462D-9B51-233966560C6B},Active,0.00177893408772466
35648,20453,SP2290, ,SP,South Park,South Park,,,,,,,,0.01908165,,,,<Null>,,,{45E35E5D-0637-4D5C-8E3B-5CF82CC3F701},Active,0.000300690507138976
35649,20454,SP2292, ,SP,South Park,South Park,,,,,,,,0.08202299,,,,<Null>,,,{9CEB732A-7F17-4903-B166-D584415807C4},Active,0.00124594537632035
35650,20455,SP2293, ,SP,South Park,South Park,,,,,,,,0.37736256,,,,<Null>,,,{54A3DEE6-B464-4C0A-8459-E59B848D2518},Active,0.00586397897752082
35651,20456,SP2294, ,SP,South Park,South Park,,,,,,,,0.36888393,,,,<Null>,,,{3638A1B4-5D26-4F48-9149-4FF732D46365},Active,0.00638105853421133
35652,20457,SP2522, ,SP,South Park,South Park,,,,,,,,0.00743943,,,,<Null>,,,{7672919A-E6CF-480B-8BE6-8E6F954EF660},Active,0.000136419953208534
35653,20458,SP2523, ,SP,South Park,South Park,,,,,,,,0.10011259,,,,<Null>,,,{0DF79C5A-BB35-487D-982F-18151673F1F6},Active,0.00180858320260794
35654,20459,SP2524, ,SP,South Park,South Park,,,,,,,,0.13251901,,,,<Null>,,,{58F6ED3A-A79B-4D89-B252-37B347BC40E0},Active,0.00231932478981208
35655,20460,SP2525, ,SP,South Park,South Park,,,,,,,,0.00583125,,,,<Null>,,,{4FA02074-7EAC-4E08-B0AE-2FBA35FB49BC},Active,9.29224070713526e-05
35656,20461,SP2528, ,SP,South Park,South Park,,,,,,,,0.02106199,,,,<Null>,,,{F4D9FA71-94AB-4DE0-942D-53EAE404731B},Active,0.000351909151828666
35657,20462,SP2532, ,SP,South Park,South Park,,,,,,,,0.0959983,,,,<Null>,,,{78E62147-DB4F-4CC6-8158-FB72C0C1E681},Active,0.00172409448112992
35658,20463,SP2656, ,SP,South Park,South Park,,,,,,,,1.19640202,,,,<Null>,,,{BB83C855-6216-4E93-8567-5F9E05C0383D},Active,0.0193879885365963
35659,20464,SP2659,Verify/Remove if trail has disappeared,SP,South Park,South Park,,,,,,,,0.09162839,,,,<Null>,,,{26182564-952A-4E36-B936-FE07AA4ACADC},Closed,0.00162608479353763
35660,20465,SP25653, ,SP,South Park,South Park,,,,,,,,0.11569636,,,Moderate,<Null>,Dirt,No,{B8F029C1-35A1-4449-ABE5-70F56C2F5695},Closed,0.00203478635394605
35661,20466,SP2662, ,SP,South Park,South Park,,,,,,,,0.45081624,,,,<Null>,,,{7C9067C3-F016-4CFB-BDA6-655AB40425F6},Active,0.00740805756101978
35662,20467,SP2784, ,SP,South Park,South Park,,,,,,,,0.02307288,,,,<Null>,,,{AAE95C97-1661-4FFE-A31D-C044D2406913},Active,0.000366610096840016
35663,20468,SP25656, ,SP,South Park,South Park,,,,,,,,0.02550083,,,Easy,<Null>,Dirt,No,{F5252088-E1F1-4D23-82FB-D4D3074FDEA0},Closed,0.000476269383787748
35664,20469,SP2940,Gravel or Paved Trail/Road,SP,South Park,South Park,Gravel or Paved Trail/Road,GY,Gray,,,,https://apps.alleghenycounty.us/GIS/GRAYbase.png,2.69064397,,,Easy,Point to Point,Concrete,No,{E75F00F2-C722-4092-A799-143AA444EFAB},Active,0.0438192801048528
35665,20470,SP2941,Gravel or Paved Trail/Road,SP,South Park,South Park,Gravel or Paved Trail/Road,GY,Gray, , , ,https://apps.alleghenycounty.us/GIS/GRAYbase.png,2.24678285,,,Moderate,Complete Loop,Asphalt,No,{4633EAC6-239A-4AF3-A591-6F51C5E3B058},Active,0.0364276772457583
35666,20471,SP6217,Red,SP,South Park,South Park,Red,RD,Red, , , ,https://apps.alleghenycounty.us/GIS/REDbase.png,2.245684,,,Easy-Moderate,Complete Loop,,,{0713A070-D306-4EBC-920E-C84AB8826881},Active,0.0384928768493609
35667,20472,SP25662, ,SP,South Park,South Park,,,,,,,,0.29260476,,,,<Null>,Dirt,No,{B314EF48-C348-4764-BB56-B76BF3BBF41B},Active,0.00449547968714618
35668,20473,SP6211, ,SP,South Park,South Park,,,,,,,,0.01998336,,,,<Null>,,,{B1ACBCBD-6AEC-423D-9851-653E847703C0},Active,0.000356083022841891
35669,20474,SP6210, ,SP,South Park,South Park,,,,,,,,0.17687634,,,,<Null>,,,{BACA7478-2AA0-4BBC-8BCA-02FEFC96AF87},Active,0.00289242703221633
35670,20475,SP25665,Orange,SP,South Park,South Park,Orange,OR,Orange,,,,https://apps.alleghenycounty.us/GIS/ORANGEbase.png,2.46352542,,,Moderate,Complete Loop,Dirt,,{066A65E2-77C8-49B0-9671-E7BA04C11988},Active,0.0413180223212897
35671,20476,SP25666,Decommissioned Trail,SP,South Park,South Park,,,,,,,,0.16409848,,,,<Null>,,,{F02657F0-9283-4EE4-8547-A158B9D50922},Closed,0.00258662501939418
35672,20477,SP25667,Decommissioned Trail,SP,South Park,South Park,,,,,,,,0.07660511,,,,<Null>,,,{433708BC-7DCB-40DC-9FE0-C70859F31453},Closed,0.00136621014583891
35673,20478,SP2286, ,SP,South Park,South Park,,,,,,,,0.86764499,,,,<Null>,,,{643506DD-3CF8-457B-9458-FC715A799C26},Active,0.014057772965035
35674,20479,SP25669,,SP,South Park,South Park,,,,,,,,0.37177845,,,,<Null>,,,{38AF6DD0-0697-48BA-B3E6-476266C95DF5},Active,0.00593234402290021
35675,20480,SP25670,,SP,South Park,South Park,,,,,,,,0.19553848,,,,<Null>,,,{4E865896-F631-4E79-AEA4-EE1B90348619},Active,0.00310433197509317
35676,20481,SP13860,,SP,South Park,South Park,,,,,,,,0.05638176,,,,<Null>,,,{80B17ECD-9C86-4365-B028-6BBA7D069ADA},Active,0.000967377533976488
35677,20482,SP13837,,SP,South Park,South Park,,,,,,,,0.28169234,,,,<Null>,,,{7200D3F1-8D1F-4E18-AD38-744FD839F16F},Active,0.0042613819996798
35678,20483,SP13853,,SP,South Park,South Park,,,,,,,,0.01034689,,,,<Null>,,,{DAC5CF69-643B-4642-BDBC-37ED41F46003},Active,0.000184680365767846
35679,20484,SP13855,,SP,South Park,South Park,,,,,,,,0.02764528,,,,<Null>,,,{22F363E7-8295-4CCD-8496-0B5DC67B9E63},Active,0.000413763091720713
35680,20485,SP13892,,SP,South Park,South Park,,,,,,,,0.02232976,,,,<Null>,,,{EDC25F70-4EB5-47A5-9902-31722FA922F2},Active,0.000413014657181724
